T: 298.15K,  Hf: kcal/mol,  S: cal/mol/K,  Cp: cal/mol/K
species                       inchikey                                smiles                                                                  Hf_B3LYP              Hf_MP2            Hf_CCSDT                   S                  Cp
20                            IQHSIXFTHHMAIW-UHFFFAOYSA-N-1           c1ccc2cc3cc4c(ccc5ccc6ccccc6c54)cc3cc2c1                                 -342.99             1187.97              104.68              136.83               80.03
21                            DHCSBRKYHMINPB-UHFFFAOYSA-N-1           c1ccc2cc3c(ccc4c5cc6ccccc6cc5ccc34)cc2c1                                 -350.39             1182.29               99.00              135.22               79.98
22                            QSQIGGCOCHABAP-UHFFFAOYSA-N-1           c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1                                   -332.78             1201.34              116.57              133.61               80.53
23                            JVVYVDMBJGSYKH-UHFFFAOYSA-N-1           c1ccc2cc3c(ccc4c3ccc3c5ccccc5ccc34)cc2c1                                 -353.97             1178.26               95.72              136.83               79.82
24                            PLKNNIMJRPBOSW-UHFFFAOYSA-N-1           c1ccc2cc3cc4cc5c(ccc6ccccc65)cc4cc3cc2c1                                 -343.43             1190.25              106.22              136.46               80.17
25                            WCHUAFVNAGHGIM-UHFFFAOYSA-N-1           c1ccc2c(c1)ccc1cc3ccc4c5ccccc5ccc4c3cc12                                 -356.05             1176.03               93.49              136.75               79.77
26                            SDWITIWFFMGFHS-UHFFFAOYSA-N-1           c1ccc2cc3cc4c5ccccc5c5ccccc5c4cc3cc2c1                                   -350.04             1181.95               99.38              136.73               79.86
27                            AFVMDRFUJONSCM-UHFFFAOYSA-N-1           c1ccc2cc3cc4c(ccc5c6ccccc6ccc45)cc3cc2c1                                 -348.46             1184.40              101.12              136.65               80.03
28                            JBHIIKGZANVCJJ-UHFFFAOYSA-N-1           c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2ccccc2c13                                 -348.55             1180.43               98.60              137.09               79.79
29                            HFLVQBRYQIXJAW-UHFFFAOYSA-N-1           c1ccc2cc3c(ccc4cc5c(ccc6ccccc65)cc43)cc2c1                               -354.65             1178.12               94.83              136.37               79.81
30                            PKIFBGYEEVFWTJ-UHFFFAOYSA-N-1           c1ccc2cc3cc4c(ccc5cc6ccccc6cc54)cc3cc2c1                                 -347.96             1185.74              101.71              136.46               80.05
31                            GQDKQZAEQBGVBS-UHFFFAOYSA-N-1           c1ccc2c(c1)c1ccccc1c1c3ccccc3c3ccccc3c21                                 -341.24             1184.69              104.32              134.85               79.96
32                            IHQGFGQIOMWFFZ-UHFFFAOYSA-N-1           c1ccc2c(c1)ccc1cc3c(ccc4c5ccccc5ccc34)cc12                               -356.21             1175.88               93.34              136.60               79.73
33                            FUDUPLHPBBXJRW-UHFFFAOYSA-N-1           c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccccc2cc13                                 -353.18             1178.53               95.97              136.83               79.75
34                            RYQHWGXLBQHJST-UHFFFAOYSA-N-1           c1cc2cc3cccc4c5cccc6cc7cccc8c(c1)c2c(c34)c(c78)c65                       -382.72             1248.05              110.00              129.13               80.10
