index,inchikey,formula,smiles,standard_smiles,IGCC_reaction,Hf_BAC/(kcal/mol),Hf_BDC/(kcal/mol),Hf_B3LYP/(kcal/mol),Hf_MP2/(kcal/mol),Hf_CCSDT/(kcal/mol),Hf_CCSDT_CBH/(kcal/mol),S_298/(cal/mol/K),Cp_298/(cal/mol/K)
15,KKWNFCVLJZXKCD-UHFFFAOYSA-N-1,C26H16,c1ccc2c(c1)ccc1cc3cc4c(ccc5ccccc54)cc3cc12,c1ccc2c(c1)ccc1cc3cc4c(ccc5ccccc54)cc3cc12,1 c1ccc2c(c1)ccc1cc3cc4c(ccc5ccccc54)cc3cc12 + 5 C=C --> 6 c1ccccc1,-21.05,-7.0,-352.67,1180.24,,96.95,135.06,79.96
16,GWBFCDHVRQBXAV-UHFFFAOYSA-N-1,C26H16,c1ccc2c(c1)ccc1cc3c4ccccc4c4ccccc4c3cc12,c1ccc2c(c1)ccc1cc3c4ccccc4c4ccccc4c3cc12,1 c1ccc2c(c1)ccc1cc3c4ccccc4c4ccccc4c3cc12 + 5 C=C --> 6 c1ccccc1,-20.18,-6.41,-356.9,1174.34,,92.52,137.87,79.74
17,IQHSIXFTHHMAIW-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3cc4c(ccc5ccc6ccccc6c54)cc3cc2c1,c1ccc2cc3cc4c(ccc5ccc6ccccc6c54)cc3cc2c1,1 c1ccc2cc3cc4c(ccc5ccc6ccccc6c54)cc3cc2c1 + 5 C=C --> 6 c1ccccc1,-21.05,-7.0,-342.99,1187.97,,104.68,136.827,80.16
18,DHCSBRKYHMINPB-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3c(ccc4c5cc6ccccc6cc5ccc34)cc2c1,c1ccc2cc3c(ccc4c5cc6ccccc6cc5ccc34)cc2c1,1 c1ccc2cc3c(ccc4c5cc6ccccc6cc5ccc34)cc2c1 + 5 C=C --> 6 c1ccccc1,-21.05,-7.0,-350.39,1182.29,,99.0,135.22,80.1
19,QSQIGGCOCHABAP-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,1 c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1 + 5 C=C --> 6 c1ccccc1,-21.91,-7.62,-332.78,1201.34,,116.57,133.61,80.67
20,JVVYVDMBJGSYKH-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3c(ccc4c3ccc3c5ccccc5ccc34)cc2c1,c1ccc2cc3c(ccc4c3ccc3c5ccccc5ccc34)cc2c1,1 c1ccc2cc3c(ccc4c3ccc3c5ccccc5ccc34)cc2c1 + 5 C=C --> 6 c1ccccc1,-20.61,-6.69,-353.97,1178.26,,95.72,136.83,79.94
21,PLKNNIMJRPBOSW-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3cc4cc5c(ccc6ccccc65)cc4cc3cc2c1,c1ccc2cc3cc4cc5c(ccc6ccccc65)cc4cc3cc2c1,1 c1ccc2cc3cc4cc5c(ccc6ccccc65)cc4cc3cc2c1 + 5 C=C --> 6 c1ccccc1,-21.48,-7.31,-343.43,1190.25,,106.22,136.46,80.3
22,WCHUAFVNAGHGIM-UHFFFAOYSA-N-1,C26H16,c1ccc2c(c1)ccc1cc3ccc4c5ccccc5ccc4c3cc12,c1ccc2c(c1)ccc1cc3ccc4c5ccccc5ccc4c3cc12,1 c1ccc2c(c1)ccc1cc3ccc4c5ccccc5ccc4c3cc12 + 5 C=C --> 6 c1ccccc1,-20.61,-6.69,-356.05,1176.03,,93.49,136.75,79.89
23,SDWITIWFFMGFHS-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3cc4c5ccccc5c5ccccc5c4cc3cc2c1,c1ccc2cc3cc4c5ccccc5c5ccccc5c4cc3cc2c1,1 c1ccc2cc3cc4c5ccccc5c5ccccc5c4cc3cc2c1 + 5 C=C --> 6 c1ccccc1,-20.61,-6.72,-350.04,1181.95,,99.38,136.73,79.97
24,AFVMDRFUJONSCM-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3cc4c(ccc5c6ccccc6ccc45)cc3cc2c1,c1ccc2cc3cc4c(ccc5c6ccccc6ccc45)cc3cc2c1,1 c1ccc2cc3cc4c(ccc5c6ccccc6ccc45)cc3cc2c1 + 5 C=C --> 6 c1ccccc1,-21.05,-7.0,-348.46,1184.4,,101.12,136.65,80.15
25,JBHIIKGZANVCJJ-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2ccccc2c13,c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2ccccc2c13,1 c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2ccccc2c13 + 5 C=C --> 6 c1ccccc1,-20.18,-6.41,-348.55,1180.43,,98.6,137.08700000000002,79.9
26,HFLVQBRYQIXJAW-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3c(ccc4cc5c(ccc6ccccc65)cc43)cc2c1,c1ccc2cc3c(ccc4cc5c(ccc6ccccc65)cc43)cc2c1,1 c1ccc2cc3c(ccc4cc5c(ccc6ccccc65)cc43)cc2c1 + 5 C=C --> 6 c1ccccc1,-21.05,-7.0,-354.65,1178.12,,94.83,136.37,79.93
27,PKIFBGYEEVFWTJ-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3cc4c(ccc5cc6ccccc6cc54)cc3cc2c1,c1ccc2cc3cc4c(ccc5cc6ccccc6cc54)cc3cc2c1,1 c1ccc2cc3cc4c(ccc5cc6ccccc6cc54)cc3cc2c1 + 5 C=C --> 6 c1ccccc1,-21.48,-7.31,-347.96,1185.74,,101.71,136.46,80.18
28,GQDKQZAEQBGVBS-UHFFFAOYSA-N-1,C26H16,c1ccc2c(c1)c1ccccc1c1c3ccccc3c3ccccc3c21,c1ccc2c(c1)c1ccccc1c1c3ccccc3c3ccccc3c21,1 c1ccc2c(c1)c1ccccc1c1c3ccccc3c3ccccc3c21 + 5 C=C --> 6 c1ccccc1,-19.31,-5.82,-341.24,1184.69,,104.32,134.851,80.03
29,IHQGFGQIOMWFFZ-UHFFFAOYSA-N-1,C26H16,c1ccc2c(c1)ccc1cc3c(ccc4c5ccccc5ccc34)cc12,c1ccc2c(c1)ccc1cc3c(ccc4c5ccccc5ccc34)cc12,1 c1ccc2c(c1)ccc1cc3c(ccc4c5ccccc5ccc34)cc12 + 5 C=C --> 6 c1ccccc1,-20.61,-6.69,-356.21,1175.88,,93.34,136.6,79.85
30,FUDUPLHPBBXJRW-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccccc2cc13,c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccccc2cc13,1 c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccccc2cc13 + 5 C=C --> 6 c1ccccc1,-20.61,-6.72,-353.18,1178.53,,95.97,136.83,79.85
31,RYQHWGXLBQHJST-UHFFFAOYSA-N-1,C28H14,c1cc2cc3cccc4c5cccc6cc7cccc8c(c1)c2c(c34)c(c78)c65,c1cc2cc3cccc4c5cccc6cc7cccc8c(c1)c2c(c34)c(c78)c65,1 c1cc2cc3cccc4c5cccc6cc7cccc8c(c1)c2c(c34)c(c78)c65 + 13 C=C + 3 [H][H] --> 8 c1ccccc1 + 6 C,-22.89,-20.56,-382.72,1248.05,110.0,110.0,129.13,80.19
