species,inchikey,formula,smiles,standard_smiles,IGCC_reaction
22,QSQIGGCOCHABAP-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,1 c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1 + 5 C=C --> 6 c1ccccc1
23,JVVYVDMBJGSYKH-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3c(ccc4c3ccc3c5ccccc5ccc34)cc2c1,c1ccc2cc3c(ccc4c3ccc3c5ccccc5ccc34)cc2c1,1 c1ccc2cc3c(ccc4c3ccc3c5ccccc5ccc34)cc2c1 + 5 C=C --> 6 c1ccccc1
24,PLKNNIMJRPBOSW-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3cc4cc5c(ccc6ccccc65)cc4cc3cc2c1,c1ccc2cc3cc4cc5c(ccc6ccccc65)cc4cc3cc2c1,1 c1ccc2cc3cc4cc5c(ccc6ccccc65)cc4cc3cc2c1 + 5 C=C --> 6 c1ccccc1
25,WCHUAFVNAGHGIM-UHFFFAOYSA-N-1,C26H16,c1ccc2c(c1)ccc1cc3ccc4c5ccccc5ccc4c3cc12,c1ccc2c(c1)ccc1cc3ccc4c5ccccc5ccc4c3cc12,1 c1ccc2c(c1)ccc1cc3ccc4c5ccccc5ccc4c3cc12 + 5 C=C --> 6 c1ccccc1
26,SDWITIWFFMGFHS-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3cc4c5ccccc5c5ccccc5c4cc3cc2c1,c1ccc2cc3cc4c5ccccc5c5ccccc5c4cc3cc2c1,1 c1ccc2cc3cc4c5ccccc5c5ccccc5c4cc3cc2c1 + 5 C=C --> 6 c1ccccc1
27,AFVMDRFUJONSCM-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3cc4c(ccc5c6ccccc6ccc45)cc3cc2c1,c1ccc2cc3cc4c(ccc5c6ccccc6ccc45)cc3cc2c1,1 c1ccc2cc3cc4c(ccc5c6ccccc6ccc45)cc3cc2c1 + 5 C=C --> 6 c1ccccc1
28,JBHIIKGZANVCJJ-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2ccccc2c13,c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2ccccc2c13,1 c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2ccccc2c13 + 5 C=C --> 6 c1ccccc1
29,HFLVQBRYQIXJAW-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3c(ccc4cc5c(ccc6ccccc65)cc43)cc2c1,c1ccc2cc3c(ccc4cc5c(ccc6ccccc65)cc43)cc2c1,1 c1ccc2cc3c(ccc4cc5c(ccc6ccccc65)cc43)cc2c1 + 5 C=C --> 6 c1ccccc1
30,PKIFBGYEEVFWTJ-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3cc4c(ccc5cc6ccccc6cc54)cc3cc2c1,c1ccc2cc3cc4c(ccc5cc6ccccc6cc54)cc3cc2c1,1 c1ccc2cc3cc4c(ccc5cc6ccccc6cc54)cc3cc2c1 + 5 C=C --> 6 c1ccccc1
31,GQDKQZAEQBGVBS-UHFFFAOYSA-N-1,C26H16,c1ccc2c(c1)c1ccccc1c1c3ccccc3c3ccccc3c21,c1ccc2c(c1)c1ccccc1c1c3ccccc3c3ccccc3c21,1 c1ccc2c(c1)c1ccccc1c1c3ccccc3c3ccccc3c21 + 5 C=C --> 6 c1ccccc1
32,IHQGFGQIOMWFFZ-UHFFFAOYSA-N-1,C26H16,c1ccc2c(c1)ccc1cc3c(ccc4c5ccccc5ccc34)cc12,c1ccc2c(c1)ccc1cc3c(ccc4c5ccccc5ccc34)cc12,1 c1ccc2c(c1)ccc1cc3c(ccc4c5ccccc5ccc34)cc12 + 5 C=C --> 6 c1ccccc1
33,FUDUPLHPBBXJRW-UHFFFAOYSA-N-1,C26H16,c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccccc2cc13,c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccccc2cc13,1 c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccccc2cc13 + 5 C=C --> 6 c1ccccc1
34,RYQHWGXLBQHJST-UHFFFAOYSA-N-1,C28H14,c1cc2cc3cccc4c5cccc6cc7cccc8c(c1)c2c(c34)c(c78)c65,c1cc2cc3cccc4c5cccc6cc7cccc8c(c1)c2c(c34)c(c78)c65,1 c1cc2cc3cccc4c5cccc6cc7cccc8c(c1)c2c(c34)c(c78)c65 + 13 C=C + 3 [H][H] --> 8 c1ccccc1 + 6 C
